Year,Lg,Rd,Pk,Player,College,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2025,NBA,1,12,Noa Essengue,,19,PF,2,0,6,,,,,,,,,,,,,,,,,,,,,,,
2024,NBA,1,11,Matas Buzelis,,20,SF,80,31,1511,,,,,,,,,,,,,,,,,,,,,,,ROY-7
2022,NBA,1,18,Dalen Terry,Arizona,20.0,SG,38.0,0.0,214.0,,,,,,,,,,,,,,,,,,,,,,,
2021,NBA,2,38,Ayo Dosunmu,Illinois,22.0,SG,77.0,40.0,2110.0,,,,,,,,,,,,,,,,,,,,,,,
2020,NBA,1,4,Patrick Williams,Florida State,19,PF,71,71,1983,,,,,,,,,,,,,,,,,,,,,,,
2020,NBA,2,44,Marko Simonovic,,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,Did not play - other pro league,,,,,,,,,,,,,,,,,,,,,,,Did not play - other pro league
2019,NBA,1,7,Coby White,UNC,19.0,PG,65.0,1.0,1674.0,,,,,,,,,,,,,,,,,,,,,,,ROY-5
2019,NBA,2,38,Daniel Gafford,Arkansas,21.0,C,43.0,7.0,609.0,,,,,,,,,,,,,,,,,,,,,,,
2018,NBA,1,7,Wendell Carter,Duke,19,C,44.0,44.0,1110.0,,,,,,,,,,,,,,,,,,,,,,,
2018,NBA,1,22,Chandler Hutchison,Boise State,22.0,SF,44.0,14.0,895.0,,,,,,,,,,,,,,,,,,,,,,,
2016,NBA,1,14,Denzel Valentine,Michigan State,23.0,SG,57.0,0.0,976.0,,,,,,,,,,,,,,,,,,,,,,,
2016,NBA,2,48,Paul Zipser,,22,SF,44,18,19.2,2.0,5.0,0.398,0.8,2.3,0.333,1.3,2.8,0.451,0.473,0.7,0.9,0.775,0.3,2.5,2.8,0.8,0.3,0.4,0.9,1.8,5.5,
2015,NBA,1,22,Bobby Portis,Arkansas,20.0,PF,62.0,4.0,1102.0,,,,,,,,,,,,,,,,,,,,,,,
2014,NBA,2,49,Cameron Bairstow,New Mexico,24.0,PF,18.0,1.0,3.6,0.2,0.8,0.214,0.0,0.0,,0.2,0.8,0.214,0.214,0.2,0.3,0.8,0.3,0.1,0.4,0.1,0.1,0.1,0.2,0.4,0.6,
2013,NBA,1,20,Tony Snell,New Mexico,22,SG,77.0,12.0,1231.0,,,,,,,,,,,,,,,,,,,,,,,
2013,NBA,2,49,Erik Murphy,Florida,23.0,C,24.0,0.0,62.0,,,,,,,,,,,,,,,,,,,,,,,
2012,NBA,1,29,Marquis Teague,Kentucky,19,PG,48,0,392,,,,,,,,,,,,,,,,,,,,,,,
2011,NBA,1,30,Jimmy Butler,Marquette,22.0,SG,42.0,0.0,359.0,,,,,,,,,,,,,,,,,,,,,,,
2009,NBA,1,16,James Johnson,Wake Forest,22.0,PF,65.0,11.0,757.0,,,,,,,,,,,,,,,,,,,,,,,
