Year,Lg,Rd,Pk,Player,College,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2025,NBA,1,12,Noa Essengue,,2,6,0,0,0,.000,.000,,3.0,0.0,0.0,0.0,-0.1,-0.417,-23.7,0.0
2025,NBA,2,45,Rocco Zikarsky (↳LAL ↳MIN),,5,36,14,14,2,.625,,1.000,7.2,2.8,2.8,0.4,0.2,.237,2.4,0.0
2024,NBA,1,11,Matas Buzelis,,157,3759,1940,726,237,.460,.353,.795,23.9,12.4,4.6,1.5,4.4,.057,-1.6,0.4
2023,NBA,2,59,,,,,,,,,,,,,,,,,,
2022,NBA,1,18,Dalen Terry,Arizona,218,2433,767,360,266,.443,.314,.638,11.2,3.5,1.7,1.2,3.1,.061,-2.6,-0.3
2021,NBA,2,38,Ayo Dosunmu,Illinois,348,9695,3878,1048,1161,.505,.380,.804,27.9,11.1,3.0,3.3,17.5,.086,-1.2,2.0
2020,NBA,1,4,Patrick Williams,Florida State,348,8952,3141,1341,509,.438,.381,.762,25.7,9.0,3.9,1.5,8.3,.044,-2.6,-1.4
2020,NBA,2,44,Marko Simonovic,,16,55,23,12,0,.273,.222,.692,3.4,1.4,0.8,0.0,0.0,-0.026,-12.3,-0.1
2019,NBA,1,7,Coby White,UNC,472,13815,7273,1709,1818,.434,.369,.856,29.3,15.4,3.6,3.9,19.9,.069,-1.5,1.7
2019,NBA,2,38,Daniel Gafford,Arkansas,433,8684,4021,2505,455,.702,.000,.674,20.1,9.3,5.8,1.1,35.2,.195,1.7,8.2
2018,NBA,1,7,Wendell Carter,Duke,461,12735,5487,3750,919,.510,.316,.740,27.6,11.9,8.1,2.0,33.3,.126,-0.3,5.3
2018,NBA,1,22,Chandler Hutchison,Boise State,103,1790,558,376,79,.442,.309,.643,17.4,5.4,3.7,0.8,1.1,.030,-3.9,-0.9
2017,NBA,1,16,Justin Patton (↳MIN),Creighton,22,296,86,60,19,.404,.250,.667,13.5,3.9,2.7,0.9,0.4,.066,-2.8,-0.1
2017,NBA,2,38,Jordan Bell (↳GSW),Oregon,161,1937,593,497,201,.552,.200,.636,12.0,3.7,3.1,1.2,4.9,.121,0.2,1.1
2016,NBA,1,14,Denzel Valentine,Michigan State,256,4817,1795,857,466,.394,.360,.787,18.8,7.0,3.3,1.8,4.5,.044,-1.9,0.2
2016,NBA,2,48,Paul Zipser,,98,1667,458,256,82,.371,.335,.769,17.0,4.7,2.6,0.8,0.0,-0.001,-5.2,-1.4
2015,NBA,1,22,Bobby Portis,Arkansas,721,16526,8733,5113,955,.479,.393,.761,22.9,12.1,7.1,1.3,36.6,.106,-0.4,6.8
2014,NBA,1,16,Jusuf Nurkić (↳DEN),,631,15430,7438,5644,1664,.502,.294,.661,24.5,11.8,8.9,2.6,34.7,.108,0.4,9.5
2014,NBA,1,19,Gary Harris (↳DEN),Michigan State,666,17326,6568,1476,1192,.446,.370,.810,26.0,9.9,2.2,1.8,27.5,.076,-1.4,2.6
2014,NBA,2,49,Cameron Bairstow,New Mexico,36,167,44,36,7,.296,.200,.846,4.6,1.2,1.0,0.2,-0.1,-0.021,-8.1,-0.3
2013,NBA,1,20,Tony Snell,New Mexico,601,13092,3672,1371,669,.431,.394,.846,21.8,6.1,2.3,1.1,18.5,.068,-2.0,-0.1
2013,NBA,2,49,Erik Murphy,Florida,24,62,6,8,2,.231,.000,,2.6,0.3,0.3,0.1,-0.1,-0.055,-8.6,-0.1
2012,NBA,1,29,Marquis Teague,Kentucky,91,909,217,90,134,.343,.222,.661,10.0,2.4,1.0,1.5,-0.9,-0.045,-6.5,-1.0
2011,NBA,1,28,Norris Cole (↳MIN ↳MIA),Cleveland State University,360,8018,2506,702,981,.407,.324,.743,22.3,7.0,2.0,2.7,3.0,.018,-4.1,-4.1
2011,NBA,1,30,Jimmy Butler,Marquette,907,29972,16658,4858,3957,.474,.330,.844,33.0,18.4,5.4,4.4,129.4,.207,5.0,52.8
2011,NBA,2,43,Malcolm Lee (↳MIN),UCLA,36,534,140,65,51,.382,.294,.703,14.8,3.9,1.8,1.4,0.4,.040,-2.5,-0.1
2010,NBA,1,17,Kevin Séraphin (↳WAS),,423,6430,2516,1462,246,.489,.000,.715,15.2,5.9,3.5,0.6,5.9,.044,-4.3,-3.6
2009,NBA,1,16,James Johnson,Wake Forest,786,15561,5830,2716,1610,.473,.300,.678,19.8,7.4,3.5,2.0,27.4,.084,0.4,9.3
2009,NBA,1,26,Taj Gibson,USC,1012,23166,8431,5754,952,.517,.272,.713,22.9,8.3,5.7,0.9,60.5,.125,-0.9,6.5
2008,NBA,1,1,Derrick Rose,Memphis,723,22054,12573,2324,3770,.456,.316,.831,30.5,17.4,3.2,5.2,44.6,.097,1.2,18.2
2008,NBA,2,39,Sonny Weems (↳DEN),Arkansas,183,3335,1189,402,257,.465,.283,.702,18.2,6.5,2.2,1.4,0.0,.001,-4.2,-1.8
2007,NBA,1,9,Joakim Noah,Florida,672,18646,5881,6058,1907,.491,.000,.700,27.7,8.8,9.0,2.8,61.9,.159,2.5,20.9
2007,NBA,2,49,Aaron Gray,Pitt,318,3851,1066,1190,207,.509,.000,.562,12.1,3.4,3.7,0.7,6.2,.077,-3.6,-1.5
2007,NBA,2,51,JamesOn Curry,Oklahoma State,1,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0
2006,NBA,1,2,LaMarcus Aldridge (↳POR),Texas,1076,36242,20558,8736,2076,.493,.320,.813,33.7,19.1,8.1,1.9,115.6,.153,1.7,33.4
2006,NBA,1,16,Rodney Carney (↳PHI),Memphis,299,4600,1778,588,132,.422,.338,.704,15.4,5.9,2.0,0.4,6.2,.064,-1.6,0.5
